year,month,grid_id,total_rainfall_mm
2020,2,33645,87.35846033096314
2020,1,33646,122.30599408149719
2020,2,33646,122.30599408149719
2020,1,33647,151.67381851673125
2020,2,33647,151.67381851673125
2020,1,33648,163.57854698747397
2020,2,33648,163.57854698747397
2020,1,33649,163.53748065829274
2020,2,33649,163.53748065829274
2020,1,33650,166.041855853796
2020,2,33650,166.041855853796
2020,1,33651,185.8630982160568
2020,2,33651,185.8630982160568
2020,1,33652,230.7886463373899
2020,2,33652,230.7886463373899
2020,1,33653,227.6078775763512
2020,2,33653,227.6078775763512
2020,1,33654,211.44144928157328
2020,2,33654,211.44144928157328
2020,1,33655,325.03770544528965
2020,2,33655,325.03770544528965
2020,1,33656,372.11320042610157
2020,2,33656,372.11320042610157
2020,1,33657,317.8363143205643
2020,2,33657,317.8363143205643
2020,1,33658,292.26497808694836
2020,2,33658,292.26497808694836
2020,1,33659,186.78421667516233
2020,2,33659,186.78421667516233
2020,1,33660,110.39851439595219
2020,2,33660,110.39851439595219
2020,1,33661,85.48263193964958
2020,2,33661,85.48263193964958
2020,1,33662,83.4399687051773
2020,2,33662,83.4399687051773
2020,1,33663,108.2604572057724
2020,2,33663,108.2604572057724
2020,1,33664,217.87278634309766
2020,2,33664,217.87278634309766
2020,1,33665,344.8476534008979
2020,2,33665,344.8476534008979
2020,1,33666,249.58251346945764
2020,2,33666,249.58251346945764
2020,1,33667,186.20353693962102
2020,2,33667,186.20353693962102
2020,1,33668,158.45618260204793
2020,2,33668,158.45618260204793
2020,1,33669,101.4170254588127
2020,2,33669,101.4170254588127
2020,1,33670,77.02019993066787
2020,2,33670,77.02019993066787
2020,1,33671,53.877321964502336
2020,2,33671,53.877321964502336
2020,1,33672,14.915236553549764
2020,2,33672,14.915236553549764
2020,1,33673,5.807355904579163
2020,2,33673,5.807355904579163
2020,1,33674,5.614353254437447
2020,2,33674,5.614353254437447
2020,1,33675,5.091005459427834
2020,2,33675,5.091005459427834
2020,1,33676,6.238209304213523
